entity,n-authors,n-revs
Code/ProjectLibraries/WebPOS.Project.CMS.ApplicationLayer/Initialisers/Pages/Ecommerce/ProductPageModelInitialiser.cs,3,19
Code/CMS/CMS/Views/MyAccount/Profile.cshtml,3,16
Code/Integration/WebPOS.Integration.DTO/WebPOS.Integration.DTO.csproj,3,16
Code/Integration/WebPOS.Integration.Serialisation/IntegrationSerialisationModule.cs,3,14
Code/Integration/WebPOS.Integration.API/IntegrationApiModule.cs,3,14
Code/CMS/CMS/Controllers/Pages/AuthController.cs,3,14
Code/ProjectLibraries/WebPOS.Project.CMS.ViewModelLayer/ProductPage/ProductPageVariantViewModel.cs,3,14
Code/ProjectLibraries/WebPOS.Project.Jobs/WebPOS.Project.Jobs.csproj,3,12
Code/CMS/CMS/Views/Ecommerce/DisplayTemplates/ProductPageGroupedVariantViewModel.cshtml,3,12
Code/CMS/CMS/Views/Content/UIKIt.cshtml,3,11
Code/CMS/CMS/Views/MyAccount/UserDetails.cshtml,3,11
Code/SiteBuilder/Scripts/Modules/Jobs.sql,3,11
Code/CMS/CMS/Views/MyAccount/ChangePassword.cshtml,3,11
Code/CMS/CMS/Views/MyAccount/ChangeEmail.cshtml,3,10
Code/CMS/CMS/Views/Ecommerce/DisplayTemplates/ProductPageVariantViewModel.cshtml,3,10
Code/CMS/CMS/Views/Navigation/MainMenu.cshtml,3,10
Code/CMS/CMS/Assets/sass/modules/_footer.scss,3,10
Code/Core/WebPOS.Core.ServiceLayer/AutoMapperProfiles/AccountMapperProfile.cs,3,9
Code/CMS/CMS/Views/Checkout/DeliveryOptions.cshtml,3,9
Code/CMS/CMS/Assets/sass/modules/controls/_product-filters.scss,3,8
Code/ProjectLibraries/WebPOS.Project.CMS.ApplicationLayer/Initialisers/Pages/MyAccount/AccountsPageModelInitialiser.cs,3,8
Code/CMS/CMS/gulpfile.js,3,8
Code/Integration/WebPOS.Integration.DTO/Requests/Prima/PrimaSoap.cs,3,7
Code/ProjectLibraries/WebPOS.Project.CMS.ViewModelLayer/PageModels/MyAccount/AddressPageModel.cs,3,7
Scripts/sts-setup.txt,3,6
Code/CMS/CMS/Assets/sass/modules/controls/_product-summary.scss,3,6
Code/Integration/WebPOS.Integration.Conversion/Prima/StockItemConverter.cs,3,6
Code/CMS/CMS/Assets/sass/base/_core.scss,3,6
Code/Core/WebPOS.Core.ServiceLayer/AccountManagement/Implementation/AccountManager.cs,3,6
Code/CMS/CMS/Assets/sass/webpack-main.scss,3,6
Code/CMS/CMS/app_build/app/product-list.js,3,6
Code/CMS/CMS/Views/MyAccount/Controls/EditUserAddress.cshtml,3,6
Code/CMS/CMS/Assets/sass/themes/_form.scss,3,6
Code/ProjectLibraries/WebPOS.Project.CMS.ViewModelLayer/Print/PrintOrderViewModel.cs,3,6
Code/ProjectLibraries/WebPOS.Project.CMS.ApplicationLayer/Initialisers/Filters/ProductFilterResultsInitialiser.cs,3,6
Code/SiteBuilder/Scripts/Core/BaseData_Ecommerce.sql,3,6
Code/CMS/CMS/Views/Checkout/DeliveryAddress.cshtml,3,6
Code/CMS/CMS/Assets/sass/modules/_checkout-header.scss,3,6
Code/CMS/CMS/Views/Auth/Login.cshtml,3,6
Code/Integration/WebPOS.Integration.DTO/Responses/PrimaResponse.cs,3,6
Code/CMS/CMS/Views/Navigation/MyAccountLinks.cshtml,3,6
Code/CMS/CMS/Views/Navigation/BrandMainMenu.cshtml,3,6
Code/CMS/CMS/app_build/app/user-management.js,3,5
Code/CMS/CMS/Assets/sass/themes/_types-sts.scss,3,5
Code/ProjectLibraries/WebPOS.Project.CMS.ViewModelLayer/PageModels/MyAccount/AccountsPageModel.cs,3,5
Code/CMS/CMS/Assets/css/styles.css,3,5
Code/CMS/CMS/gulpfile.js.template,3,5
Code/ProjectLibraries/WebPOS.Project.Jobs/JobTypes/AccountBalanceJob.cs,3,5
Database/CMS_Database/Scripts/Post-Deployment/PostDeployment.sql,3,5
Code/CMS/CMS/Assets/sass/base/_fonts.scss,3,5
Code/CMS/CMS/Assets/sass/layout/_reset-password.scss,3,5
Code/CMS/CMS/app_build/modules/product-filters.js,3,5
Code/CMS/CMS/Assets/sass/layout/_my-cards.scss,3,5
Code/CMS/CMS/Assets/sass/layout/_content.scss,3,5
Code/CMS/CMS/Views/Layout/Layout.cshtml,3,4
Code/CMS/CMS/Views/MyAccount/AccountUserFilter.cshtml,3,4
Code/ProjectLibraries/WebPOS.Project.CMS.ViewModelLayer/Paging/PagingViewModel.cs,3,4
Code/CMS/CMS/Assets/sass/layout/_forgotten-password.scss,3,4
Code/CMS/CMS/Assets/sass/layout/_user-details.scss,3,4
Code/CMS/CMS/app_build/modules/product.js,3,4
Code/Core/WebPOS.Core.RepositoryLayer/OrderManagementEntityDataModel.edmx,3,4
Code/CMS/CMS/Views/Ecommerce/DisplayTemplates/ProductPageFromPricingViewModel.cshtml,3,4
Code/ProjectLibraries/WebPOS.Project.CMS.ViewModelLayer/Products/ProductSummaryViewModel.cs,3,4
Code/Core/WebPOS.Core.DataLayer/Entities/AccountEntity.cs,3,4
Code/ProjectLibraries/WebPOS.Project.ModelLayer/Jobs/JobNames.cs,3,4
Code/Core/WebPOS.Core.ServiceLayer/Extensions/QueryableVariantExtensions.cs,3,4
Code/CMS/CMS/Views/Layout/SharedLayout.cshtml,3,4
Code/ProjectLibraries/WebPOS.Project.CMS.ServiceLayer/Context/Implementation/UserContextManager.cs,3,4
Code/Core/WebPOS.Core.ModelLayer/ProductManagement/Products/Product.cs,3,4
Code/SiteBuilder/Scripts/Core/BaseData_B2B.sql,3,4
Code/CMS/CMS/Views/Layout/Controls/SocialLinks.cshtml,3,4
Code/ProjectLibraries/WebPOS.Project.CMS.ViewModelLayer/PageModels/MyAccount/ChangePasswordPageModel.cs,3,4
Code/CMS/CMS/Views/Shared/DisplayTemplates/OrderAddressViewModel.cshtml,3,4
Code/Core/WebPOS.Core.ModelLayer/StockManagement/Stock.cs,3,3
Code/CMS/CMS/Views/Ecommerce/SearchResults.cshtml,3,3
Code/ProjectLibraries/WebPOS.Project.CMS.ApplicationLayer/Initialisers/Pages/Checkout/CheckoutDeliveryAddressPageModelInitialiser.cs,3,3
Code/ProjectLibraries/WebPOS.Project.CMS.ViewModelLayer/PageModels/MyAccount/MyFavouritesPageModel.cs,3,3
Code/Admin/Admin/app_build/ViewModels/Accounts/Account.js,3,3
Code/Core/WebPOS.Core.ServiceLayer/AutoMapperProfiles/PageMapperProfile.cs,3,3
Code/Core/WebPOS.Core.DataLayer/Entities/StockEntity.cs,3,3
Code/CMS/CMS/Assets/fonts/Stateside-Skates-Icons.woff2,3,3
Code/ProjectLibraries/WebPOS.Project.CMS.ApplicationLayer/Initialisers/Pages/MyAccount/MyFavouritesPageModelInitialiser.cs,3,3
Code/CMS/CMS/Views/MyAccount/DisplayTemplates/UserSummaryViewModel.cshtml,3,3
